iter	RMSE
0	7.385694405
1	7.356016722
2	7.333974226
3	7.292506477
4	7.247121275
5	7.214329891
6	7.197529601
7	7.138938839
8	7.096645102
9	7.061816507
10	7.019653238
11	6.982562881
12	6.962215649
13	6.929784547
14	6.909928316
15	6.888528984
16	6.844208139
17	6.822986905
18	6.776008399
19	6.733244222
20	6.7044542
21	6.682383629
22	6.644887536
23	6.630751906
24	6.619474782
25	6.606176868
26	6.568606836
27	6.548947704
28	6.528845751
29	6.515341742
30	6.499799529
31	6.467668581
32	6.442933326
33	6.415252729
34	6.402803826
35	6.392280419
36	6.369333797
37	6.343849557
38	6.321562194
39	6.30151564
40	6.289875928
41	6.273272061
42	6.264244757
43	6.24984112
44	6.240274672
45	6.22620403
46	6.216706206
47	6.19293325
48	6.172642867
49	6.154264832
50	6.13942998
51	6.128100701
52	6.120850059
53	6.109328551
54	6.098291073
55	6.081527851
56	6.071129796
57	6.051601263
58	6.033091562
59	6.024483897
60	6.012245963
61	5.994239324
62	5.983002747
63	5.974939061
64	5.965764579
65	5.951641315
66	5.937318556
67	5.928451653
68	5.919927467
69	5.906653037
70	5.899168072
71	5.89436526
72	5.877609071
73	5.873273154
74	5.868108718
75	5.861515597
76	5.854097341
77	5.851341138
78	5.845171041
79	5.838166546
80	5.830016559
81	5.815031766
82	5.796397173
83	5.787363001
84	5.777637869
85	5.769418161
86	5.759617231
87	5.751007829
88	5.743478869
89	5.740858192
90	5.732275964
91	5.725051709
92	5.719540844
93	5.712883504
94	5.707922141
95	5.705589194
96	5.698117562
97	5.691847204
98	5.682985584
99	5.674946678
100	5.668745714
101	5.662490913
102	5.658235829
103	5.65302192
104	5.633241752
105	5.625823468
106	5.620017294
107	5.613225058
108	5.607583928
109	5.594720916
110	5.591682435
111	5.582953855
112	5.579312115
113	5.571643199
114	5.566331711
115	5.557610775
116	5.549745928
117	5.542675568
118	5.535758927
119	5.530572397
120	5.525829241
121	5.520158436
122	5.514648037
123	5.510468689
124	5.505657079
125	5.499133492
126	5.493615775
127	5.490211481
128	5.484241268
129	5.479119263
130	5.475464288
131	5.469695866
132	5.466609097
133	5.460523087
134	5.455545392
135	5.451937563
136	5.448418958
137	5.442640668
138	5.439481666
139	5.436934314
140	5.433319902
141	5.428611677
142	5.422186189
143	5.418840071
144	5.412717756
145	5.40901226
146	5.404745189
147	5.401657371
148	5.397002561
149	5.393606576
150	5.391176784
151	5.387256329
152	5.384252766
153	5.380395981
154	5.378482284
155	5.374047943
156	5.370230167
157	5.365241324
158	5.359834518
159	5.35477389
160	5.35138624
161	5.347955032
162	5.342812974
163	5.339524743
164	5.336911761
165	5.331212893
166	5.325854882
167	5.317395614
168	5.31384301
169	5.309299187
170	5.305052742
171	5.300486102
172	5.298524406
173	5.295877912
174	5.292689535
175	5.290395411
176	5.287636295
177	5.269925952
