iter	Passed	Remaining
0	0	52
1	0	48
2	0	46
3	1	43
4	1	41
5	1	40
6	1	41
7	2	42
8	2	41
9	2	41
10	2	40
11	3	39
12	3	39
13	3	39
14	4	38
15	4	38
16	4	38
17	4	38
18	5	38
19	5	38
20	5	37
21	5	36
22	6	36
23	6	36
24	6	35
25	6	35
26	7	34
27	7	34
28	7	33
29	7	33
30	7	32
31	8	32
32	8	32
33	8	31
34	8	31
35	9	31
36	9	31
37	9	31
38	10	31
39	10	30
40	10	30
41	10	30
42	11	30
43	11	30
44	11	30
45	12	29
46	12	29
47	12	29
48	12	28
49	13	28
50	13	28
51	13	27
52	13	27
53	14	27
54	14	27
55	14	26
56	14	26
57	15	26
58	15	26
59	15	25
60	15	25
61	15	24
62	16	24
63	16	24
64	16	24
65	16	23
66	17	23
67	17	23
68	17	23
69	17	22
70	18	22
71	18	22
72	18	21
73	18	21
74	19	21
75	19	21
76	19	20
77	19	20
78	20	20
79	20	20
80	20	19
81	20	19
82	20	19
83	21	18
84	21	18
85	21	18
86	21	18
87	22	17
88	22	17
89	22	17
90	22	17
91	23	16
92	23	16
93	23	16
94	23	16
95	24	15
96	24	15
97	24	15
98	24	15
99	24	14
100	25	14
101	25	14
102	25	13
103	25	13
104	26	13
105	26	13
106	26	12
107	26	12
108	27	12
109	27	12
110	27	12
111	28	11
112	28	11
113	28	11
114	28	10
115	28	10
116	29	10
117	29	10
118	29	9
119	29	9
120	30	9
121	30	9
122	30	8
123	30	8
124	30	8
125	31	8
126	31	7
127	31	7
128	31	7
129	32	7
130	32	6
131	32	6
132	32	6
133	33	6
134	33	5
135	33	5
136	33	5
137	34	5
138	34	4
139	34	4
140	34	4
141	34	4
142	35	3
143	35	3
144	35	3
145	36	3
146	36	2
147	36	2
148	36	2
149	37	2
150	37	1
151	37	1
152	37	1
153	38	1
154	38	0
155	38	0
156	38	0
157	39	0
158	39	0
